stop_id,stop_name,stop_lat,stop_lon,muni
3734,Primrose / Lenore,52.172675,-106.63285,Saskatoon
4022,Heritage / McKercher,52.104141,-106.587697,Saskatoon
4023,Richardson / Lehrer,52.152466,-106.697736,Saskatoon
4020,Preston / Circle Drive Alliance,52.08689,-106.622418,Saskatoon
4021,Richardson / 37th Street,52.150729,-106.696677,Saskatoon
4028,Arthur Rose / Day,52.200773,-106.630835,Saskatoon
4029,Arthur Rose / Beavis,52.198936,-106.630821,Saskatoon
3999,60th Street / Miners,52.187524,-106.655869,Saskatoon
3998,Assiniboine / Sturgeon Crescent,52.163646,-106.626625,Saskatoon
3997,Assiniboine / Nahanni,52.163813,-106.625929,Saskatoon
3996,Assiniboine / Nahanni,52.163837,-106.623491,Saskatoon
3994,Fairmont / 300-Block,52.122962,-106.721627,Saskatoon
3993,Preston Crossing,52.14869,-106.619764,Saskatoon
3992,Preston / Preston Crossing,52.148997,-106.617238,Saskatoon
3991,Canadian Light Source OB,52.138316,-106.631328,Saskatoon
3990,Canadian Light Source,52.138285,-106.631841,Saskatoon
5854,Meilicke / Stechishin,52.180132,-106.623922,Saskatoon
5855,Louise / Preston,52.10033,-106.62319,Saskatoon
5856,Ruth / Cantlon,52.100315,-106.633762,Saskatoon
5857,Ruth / Ewart,52.10032,-106.637495,Saskatoon
5851,Temperance / Colony,52.123815,-106.650217,Saskatoon
5852,Pinehouse / La Ronge Road,52.168615,-106.626792,Saskatoon
5853,Meilicke / Silverwood,52.180139,-106.619894,Saskatoon
5858,Ruth / Blain,52.100154,-106.632252,Saskatoon
5859,Ruth / Melrose,52.100283,-106.665388,Saskatoon
3773,Osborne / 9th Avenue,52.145904,-106.650022,Saskatoon
3772,Osborne / Edward,52.145909,-106.646864,Saskatoon
3771,Osborne / Edward Avenue,52.145789,-106.646677,Saskatoon
3777,Osborne / 10th Avenue,52.145779,-106.647942,Saskatoon
3776,Osborne / 7th,52.145909,-106.651848,Saskatoon
3775,Osborne / 7th Avenue,52.145801,-106.651595,Saskatoon
3774,Osborne / 8th Avenue,52.145789,-106.650045,Saskatoon
3778,Osborne / 10th,52.145896,-106.648163,Saskatoon
5825,2400 Eastview / 2700 Eastview,52.091895,-106.616793,Saskatoon
4148,Clarence / Main,52.117012,-106.646385,Saskatoon
4145,Clarence / Isabella,52.105051,-106.64664,Saskatoon
4144,Clarence / Hilliard,52.103845,-106.646383,Saskatoon
3513,Wilson / Broadway,52.095065,-106.655475,Saskatoon
3512,Wilson / Cascade,52.096535,-106.660313,Saskatoon
3511,Wilson / Clare,52.095564,-106.651438,Saskatoon
3510,Wilson / Cumberland,52.093476,-106.634503,Saskatoon
3514,Wilson / McAskill,52.095225,-106.647712,Saskatoon
5404,45th Street / Avenue C,52.163958,-106.675342,Saskatoon
3202,2nd Avenue / 26th Street,52.135048,-106.661008,Saskatoon
3201,2nd / 26th Street,52.135468,-106.660432,Saskatoon
3200,2nd Avenue / 25th Street,52.133169,-106.661919,Saskatoon
3209,2nd Avenue / Queen,52.136271,-106.660429,Saskatoon
5458,Laurentian / Boychuk,52.12052,-106.574683,Saskatoon
5459,Laurentian / Guelph,52.119016,-106.571454,Saskatoon
3348,8th Street / Moss,52.114582,-106.592884,Saskatoon
3349,8th Street / Munroe,52.114625,-106.640758,Saskatoon
3342,8th Street / Louise,52.114949,-106.631325,Saskatoon
3343,8th Street / McKercher,52.114861,-106.588098,Saskatoon
3340,8th Street / Lansdowne,52.114762,-106.651717,Saskatoon
5453,Broadway / Cascade,52.097099,-106.656617,Saskatoon
3346,Millar / 70th Street,52.199871,-106.646689,Saskatoon
3347,Millar / 68th Street,52.198247,-106.646665,Saskatoon
5456,Ruth / Vernon,52.100141,-106.669451,Saskatoon
3345,8th Street / McPherson,52.114482,-106.667489,Saskatoon
4251,Fairmont / Forrester,52.124818,-106.722206,Saskatoon
4253,Nelson / McOrmond,52.150165,-106.566806,Saskatoon
4255,Stensrud / Zimmer,52.155504,-106.561554,Saskatoon
4254,Konihowski / Bourgonje,52.167399,-106.589029,Saskatoon
5533,East Hampton / McClocklin,52.154131,-106.703407,Saskatoon
5532,Galloway / Lynd,52.081783,-106.635438,Saskatoon
5531,Galloway / McIntosh,52.079545,-106.63277,Saskatoon
5537,East Hampton / Coad Manor,52.155382,-106.710102,Saskatoon
5535,East Hampton / Denham,52.155136,-106.706199,Saskatoon
5538,McClocklin / Hampton Gate,52.15162,-106.718331,Saskatoon
4388,Briarwood / Briargate,52.110899,-106.565731,Saskatoon
5627,45th Street / Wheaton,52.163796,-106.675787,Saskatoon
4382,51st Street / Miners,52.17314,-106.657665,Saskatoon
4381,Faithfull / 51st Street,52.171946,-106.665036,Saskatoon
4380,Miners / 2900-Block,52.175692,-106.657293,Saskatoon
4387,Briargate / Braeside,52.113389,-106.565885,Saskatoon
4386,Avenue C / 39th Street,52.153413,-106.673083,Saskatoon
4385,George / Ward,52.149557,-106.720938,Saskatoon
4384,George /Makaroff,52.14696,-106.723353,Saskatoon
3835,McCormack / Sherry,52.120387,-106.744018,Saskatoon
3830,McEown / Adelaide,52.101959,-106.617937,Saskatoon
3838,McCormack / Postnikoff,52.126451,-106.737299,Saskatoon
3839,McCormack / Parr,52.119653,-106.755774,Saskatoon
4031,Boychuk / Laval,52.123139,-106.576,Saskatoon
4030,Boychuk / DeGeer,52.117922,-106.575223,Saskatoon
