stop_id,stop_name,stop_lat,stop_lon,muni
112112,Crescent Heights High School,51.060931,-114.065158,Calgary
2018,NB Country Village LI south of Country Village Rd,51.158297,-114.067642,Calgary
2019,NB 24 ST SE @ 86 AV SE,50.977379,-113.99876,Calgary
2020,NB 69 ST SW @ Elmont DR,51.028872,-114.187317,Calgary
2021,SB 69 ST SW @ Elmont DR,51.028489,-114.187737,Calgary
2024,SB Edmonton TR @ 6 AV NE,51.05773,-114.054426,Calgary
2025,Crescent Heights High School,51.060991,-114.065139,Calgary
2027,WB Radnor Ave @ Remington Road,51.064064,-114.040824,Calgary
2028,WB Symons Valley Py @ Sage Meadows Gr NW,51.16823,-114.12602,Calgary
2029,EB Symons Valley PY @ Sage Meadows GR NW,51.167914,-114.124538,Calgary
2030,SB 7 ST SW @ 7 AVE SW,51.047054,-114.078824,Calgary
2031,WB Nolan Hill GA @ Shaganappi TR NW,51.179948,-114.161056,Calgary
2032,SB Nolan Hill Dr @ NolanCrest Heights NW,51.176205,-114.162237,Calgary
2033,SB Nolan Hill Dr @ Nolanfield Rd NW,51.172914,-114.160824,Calgary
2034,EB Nolan Hill BV @ Nolan Hill DR farside,51.17206,-114.156942,Calgary
2035,NB Nolan Hill Dr @ Nolanfield Rd NW,51.172577,-114.160419,Calgary
2036,NB Nolan Hill Dr @ Nolanfield Ln NW,51.174557,-114.161027,Calgary
2037,NB Nolan Hill Dr @ Nolanfield Hts NW,51.17693,-114.162286,Calgary
2038,EB Nolan Hill GA @ Nolanfield WY NW,51.178968,-114.162749,Calgary
2039,WB Nolan Hill BV @ Shaganappi TR NW,51.172526,-114.156114,Calgary
2042,WB 33 AV @ 22 ST SW,51.024085,-114.114915,Calgary
2047,WB Nolan Hill DR NW @ Nolanfield PT NW,51.178825,-114.166086,Calgary
2048,SB Nolan Hill Bvd @ Nolancrest Gr NW,51.178522,-114.170605,Calgary
2049,SB Nolan Hill Bv @ Nolan Hill Ave NW,51.175463,-114.171763,Calgary
2050,SB Nolan Hill Bv @ Nolancliff Ct NW,51.173536,-114.171222,Calgary
2051,SB Nolan Hill Bv @ Nolancliff Crescent nw,51.173159,-114.168201,Calgary
2052,EB Nolan Hill BV @ Nolanshire GR NW,51.172671,-114.164034,Calgary
2053,EB Nolan Hill BV @ Nolanshire PT 100 NW,51.171515,-114.161943,Calgary
2054,NB Kincora Ga @ Shaganappi Tr NW,51.16623,-114.147594,Calgary
2055,EB Nolan Hill DR @ Nolanfield PT NW,51.178536,-114.16528,Calgary
2056,NB Nolan Hill Bv @ Nolan Hill Dr NW,51.178384,-114.17033,Calgary
2057,WB Nolan Hill GA @ Nolan Hill DR NW,51.178622,-114.163484,Calgary
2058,WB Nolan Hill BV @ Nolan Hill HT NW,51.171945,-114.158214,Calgary
2059,SB Shaganappi TR @ Nolan Hill BV NW,51.17189,-114.154297,Calgary
2060,NB Shaganappi Tr @ Sage Hill Bv NW,51.170673,-114.152737,Calgary
2061,SB Shaganappi TR @ Sage Hill BV NW,51.170106,-114.153089,Calgary
2062,NB Shaganappi Tr @ Kincora Ga NW,51.165898,-114.149075,Calgary
2063,SB Shaganappi TR @ Kincora GA NW,51.165196,-114.148157,Calgary
2064,NB Shaganappi Tr @ Sherwood Ga NW,51.163652,-114.143676,Calgary
2065,SB Shaganappi TR @ Kincora GA NW,51.162665,-114.143334,Calgary
2066,WB Nolan Hill BV @ Nolanshire PT 100 NW,51.171716,-114.162004,Calgary
2067,WB Nolan Hill BV @ Nolanshire CR NW,51.173239,-114.16471,Calgary
2068,WB Nolan Hill BV @ Nolancrest HT NW,51.173223,-114.16926,Calgary
2069,NB Nolan Hill Bv @ Nolancrest Ga NW,51.174153,-114.171418,Calgary
2070,NB Nolan Hill Bv @ Nolan Hill Ave NW,51.176296,-114.17147,Calgary
2073,NB Shaganappi Tr @ Symons Valley PY NW,51.168325,-114.151514,Calgary
2076,EB Symons Valley PY @ Kincora GA NW,51.167872,-114.145687,Calgary
2078,SB Shaganappi TR @ 128 AV NW,51.167271,-114.151729,Calgary
2079,NB Sherwood Bv @ Sherwood Ga NW,51.162996,-114.150612,Calgary
2080,EB Sherwood GA @ Sherwood SQ NW,51.16297,-114.14598,Calgary
2081,WB Sherwood Ga @ Sherwood Sq NW,51.16335,-114.146848,Calgary
2082,WB Sage Hill BV@ Sage Hill PS NW,51.170291,-114.148678,Calgary
2083,WB Sage Hill BV @ E. of  Shaganappi Tr NW,51.170521,-114.151023,Calgary
2084,NB 29 ST NE @ 23 AV NE,51.073069,-113.991742,Calgary
2085,WB Cranston AV @ Cranberry Rd SE,50.879551,-113.977087,Calgary
2086,NB Evanston Dr @ Our Lady of Grace School,51.179292,-114.121494,Calgary
2088,SB Symons Valley PY @ Evanston DR (North Leg) NW,51.177803,-114.105973,Calgary
2089,SB Symons Valley PY @ Evanston DR (South Leg) NW,51.172858,-114.108926,Calgary
2090,SB Symons Valley PY @ Evanspark Cir,51.170287,-114.110476,Calgary
2091,YYC Airport International Terminal,51.130857,-114.006519,Calgary
2092,NB Shaganappi Tr @ Nolan Hill Bv NW,51.173174,-114.154754,Calgary
2093,NB Shaganappi Tr @ Sage Valley Bv NW,51.175599,-114.156727,Calgary
2094,SB Sherview DR @ Symons Valley PY NW,51.167274,-114.160809,Calgary
2095,SB Sherview DR @ Sherwood BV (North Leg) NW,51.164761,-114.160328,Calgary
2096,NB Sherview Dr @ Sherwood Bv (South Leg) NW,51.163272,-114.159425,Calgary
2097,NB Sherview Dr @ Sherwood Bv (North Leg) NW,51.165861,-114.160298,Calgary
2098,NB Sherwood Dr @ Symons Valley Py NW,51.168894,-114.160413,Calgary
2099,SB Shaganappi TR @ Nolan Hill GA NW,51.179286,-114.15997,Calgary
2112,EB Auburn Bay DR @ S.leg Auburn Glen HT SE,50.894138,-113.95618,Calgary
2113,EB Auburn Bay DR @ Auburn Glen GR SE,50.897821,-113.952971,Calgary
2114,EB Auburn Bay DR @ Auburn Glen DR SE,50.898699,-113.950632,Calgary
2115,EB Auburn Bay DR @ 56 ST SE,50.899168,-113.947542,Calgary
2116,EB Mahogany BV @ Mahogany GA SE,50.899358,-113.93762,Calgary
