stop_id,stop_name,stop_lat,stop_lon,muni
M0785,North Plaza Nord,46.11339173,-64.8290333,Moncton
M0213,1360 Mountain,46.11042119,-64.83140706,Moncton
M0214,1234 Mountain,46.10865093,-64.82781424,Moncton
M0215,1192 Mountain,46.10749087,-64.82551961,Moncton
M0216,1144 Mountain,46.10664732,-64.8237869,Moncton
M0217,1062 Mountain,46.10489584,-64.8202665,Moncton
M0218,1036 Mountain,46.10385514,-64.81820657,Moncton
M0219,1000 Mountain,46.10317118,-64.8168373,Moncton
M0220,950 Mountain,46.10202051,-64.81439113,Moncton
M0221,900 Mountain,46.10136068,-64.81245055,Moncton
M0222,854 Mountain,46.10050506,-64.80958058,Moncton
M0223,814 Mountain,46.10008127,-64.80786799,Moncton
M0224,770 Mountain,46.09951532,-64.80547949,Moncton
M0225,700 Mountain,46.09890915,-64.80239226,Moncton
M0226,640 Mountain,46.09825469,-64.79908912,Moncton
M0227,350 Mountain,46.0975211,-64.79600726,Moncton
M0228,344 Mountain,46.09605527,-64.79108675,Moncton
M1178,296 Mountain,46.09544105,-64.78827982,Moncton
M1175,228 Highfield St,46.0937754,-64.78715597,Moncton
M1176,Highfield / Dufferin,46.09101809,-64.78595703,Moncton
M1182,357 St George,46.09004847,-64.78831469,Moncton
M1183,473 St George,46.08903325,-64.79341491,Moncton
M0463,Main / Vaughan Harvey,46.08507029,-64.7887653,Moncton
M0464,1234 Main,46.08558393,-64.78705405,Moncton
M0413,1110 Main,46.08621023,-64.7851765,Moncton
M0252,880 Main,46.088051,-64.77969562,Moncton
M0253,770 Main,46.08855,-64.77722602,Moncton
M0254,644 Main,46.08905,-64.77522,Moncton
M0255,11 Main,46.09049103,-64.77110027,Moncton
M0256,100 Main,46.09195954,-64.76738139,Moncton
D0257,14 Champlain,46.09328187,-64.76042239,Moncton
D0258,450 Paul,46.09616659,-64.75673838,Moncton
D0200,CF Champlain,46.09585239,-64.7590148,Moncton
M0234,1111 Main,46.08625582,-64.78518857,Moncton
M0235,1167 Main,46.0855665,-64.78720425,Moncton
M1164,Cameron / Gordon,46.0878504,-64.78853463,Moncton
M0362,Gordon / McDougall,46.08772433,-64.78952705,Moncton
M0363,High / St George,46.08922369,-64.79077025,Moncton
M0364,165 High,46.08978025,-64.79099824,Moncton
M0365,219 High,46.09130911,-64.79162185,Moncton
M0366,265 High,46.0925456,-64.79215427,Moncton
M0367,159 John,46.09313435,-64.79327946,Moncton
M0368,207 John,46.09293318,-64.79430138,Moncton
M0369,11 Norwood,46.09333417,-64.7946152,Moncton
M0370,Norwood / York,46.09471283,-64.79520126,Moncton
M0371,Norwood / Essex,46.09538472,-64.79550167,Moncton
M0372,45 Essex,46.09536595,-64.79627951,Moncton
M1076,63 Essex,46.09512455,-64.79744627,Moncton
M0373,Edmonton / War Veterans,46.09526805,-64.79957862,Moncton
M0733,War Veterans / Flanders,46.09339586,-64.79981734,Moncton
M0734,War Veterans / John,46.09196625,-64.79935734,Moncton
M0238,Vaughan Harvey YMCA,46.09284467,-64.80189337,Moncton
M0239,Vaughan Harvey / Edmonton,46.09525732,-64.80289115,Moncton
M0374,21 MacBeath,46.10026634,-64.80445622,Moncton
M0375,69 MacBeath,46.10222704,-64.80527161,Moncton
M0376,135 MacBeath,46.10521636,-64.80651884,Moncton
M0377,Arden / West,46.10663793,-64.80399086,Moncton
M1077,172 West,46.10478587,-64.80311244,Moncton
M0741,144 West,46.10364995,-64.80264707,Moncton
M0378,64 Connaught,46.10345013,-64.80101361,Moncton
M0743,18 Connaught,46.10413007,-64.79750394,Moncton
M0746,450 Université,46.10639519,-64.79182436,Moncton
M0969,Université,46.10379211,-64.78641702,Moncton
M0380,330 Université,46.09829894,-64.78612064,Moncton
M0381,250 Université,46.09578974,-64.78507056,Moncton
M0382,192 Mountain,46.0947705,-64.78376566,Moncton
M0750,Mountain / Robinson,46.09468735,-64.78185056,Moncton
M0383,Church / Mountain,46.09460554,-64.78016882,Moncton
M0926,Botsford / Alma,46.09361446,-64.77789162,Moncton
M0927,Botsford / St George,46.09249732,-64.77741285,Moncton
M0757,St George / Alma,46.09214864,-64.7782792,Moncton
M1078,185 St George,46.09161085,-64.78084608,Moncton
M0758,211 St George,46.09135068,-64.7820638,Moncton
M0388,281 St George,46.09063989,-64.7854112,Moncton
M0232,124 Highfield,46.09027109,-64.78564723,Moncton
R0568,720 Coverdale,46.05966786,-64.81766656,Moncton
R0569,710 Coverdale,46.0614816,-64.81495305,Moncton
R0570,702 Coverdale,46.06193757,-64.81295614,Moncton
R0603,620 Coverdale,46.06246999,-64.81063603,Moncton
R0571,512 Coverdale,46.0629206,-64.80866595,Moncton
R0604,21 Crystal,46.06439454,-64.80903388,Moncton
R0605,Crystal / Coverdale,46.06356836,-64.80734764,Moncton
R0572,438 Coverdale,46.06437034,-64.80210661,Moncton
R0573,402 Coverdale,46.06610975,-64.7984749,Moncton
R0574,334 Coverdale,46.06788403,-64.79499339,Moncton
T8501,Hillsborough / Gunningsville,46.07295743,-64.78211342,Moncton
R0540,Hillsborough / Hillview,46.07358775,-64.78042229,Moncton
R1043,Hillsborough / Howard,46.07415101,-64.77893232,Moncton
T8502,Leonard / Hillsborough,46.07447,-64.777334,Moncton
T8503,125 Leonard,46.07326454,-64.77642177,Moncton
T8504,206 Old Coach,46.07144466,-64.77294295,Moncton
T8505,240 Old Coach,46.073485,-64.769995,Moncton
R0544,500 Hillsborough,46.07563964,-64.76461335,Moncton
T8506,7 Point Park,46.076104,-64.763819,Moncton
T8507,17 Avondale,46.07645235,-64.76229189,Moncton
T8508,4 Darwin,46.077586,-64.761627,Moncton
T8509,Darwin / Bloor,46.07725567,-64.75993021,Moncton
T8510,77 Darwin,46.076629,-64.757825,Moncton
T8511,86 Muncey,46.07556051,-64.75674374,Moncton
T8512,2 Riverlea,46.07362262,-64.75522293,Moncton
R0546,682 Hillsborough,46.07278711,-64.75425331,Moncton
R0547,722 Hillsborough,46.07096991,-64.75145711,Moncton
R0548,750 Hillsborough,46.06957248,-64.74935023,Moncton
R0550,54 Hiltz,46.06547407,-64.74701269,Moncton
R0551,33 Manning,46.06658048,-64.7474928,Moncton
R0552,Manning / Hillsborough,46.06753803,-64.74653257,Moncton
