stop_id,stop_name,stop_lat,stop_lon,muni
172000,Shaughnessy St at Burns Ave (NB),50.155185,-115.820406,Canal Flats
172001,Shaughnessy St at Alder Ave (NB),50.157421,-115.821441,Canal Flats
172002,Beatty Ave at Tamarack St (EB),50.160163,-115.818104,Canal Flats
172003,Dunn St at Stevens Ave (SB),50.158718,-115.811712,Canal Flats
172004,Laurier St at Third Ave (EB),50.514975,-116.023592,Invermere
172005,4th St at 10th Ave (WB),50.509974,-116.031234,Invermere
172006,10th Ave at 9th St (SB),50.506598,-116.032251,Invermere
172007,13th St at 7th Ave (EB),50.503371,-116.027627,Invermere
172008,7th Ave at 9th St (NB),50.506304,-116.029023,Invermere
111427,Cumberland at 16th St (NB),49.678329,-125.003959,Courtenay
111428,Cumberland at Piercy (NB),49.68144,-125.003535,Courtenay
111429,Piercy at Cumberland (NB),49.682607,-125.003902,Courtenay
111430,10th St at Stewart (WB),49.682864,-125.006142,Courtenay
111431,5th St at Urquhart (NB),49.682812,-125.009791,Courtenay
111432,5th St at Kilpatrick (EB),49.688509,-125.005603,Courtenay
103865,Island Hwy S at St Lima (SB),49.629599,-124.918712,Comox Valley A
111435,Island Hwy S at Russell (SB),49.586705,-124.887277,Comox Valley A
110324,Island Hwy S 6920 block (EB),49.523958,-124.848476,Comox Valley A
111437,S Island Hwy at Ships Point (EB),49.490173,-124.811843,Comox Valley A
111438,Island Hwy S 8250 block (NB),49.47213,-124.795084,Comox Valley A
103864,Island Hwy S at Buckley Bay (NB),49.525591,-124.850025,Comox Valley A
103863,Island Hwy S at McLeod (NB),49.581111,-124.884517,Comox Valley A
103862,Island Hwy S 3970 block (WB),49.644074,-124.938384,Comox Valley A
111448,Ryan 3070 block (EB),49.71157,-124.963153,Courtenay
111270,Downtown Exchange Bay B (WB),49.692086,-124.998152,Courtenay
111271,Fitzgerald at 8th St (SB),49.687726,-124.999776,Courtenay
111272,Fitzgerald at 18th St (EB),49.681644,-124.990696,Courtenay
111273,Fitzgerald at 21st St (EB),49.679771,-124.987532,Courtenay
111274,Fitzgerald at 23rd St (SB),49.677162,-124.985956,Courtenay
111275,Anfield Exchange,49.668295,-124.979959,Courtenay
111276,Kilpatrick at 30th (NB),49.66948,-124.980602,Courtenay
111277,Kilpatrick at 29th St (NB),49.67173,-124.982981,Courtenay
111278,Driftwood Mall Exchange Bay A,49.675007,-124.984515,Courtenay
111280,Fitzgerald at 21st St (NB),49.679223,-124.986698,Courtenay
111281,Fitzgerald at 16th St (WB),49.683565,-124.993667,Courtenay
111282,Fitzgerald at 13th St (NB),49.685245,-124.996373,Courtenay
111284,Fitzgerald at 8th St (NB),49.687718,-124.999481,Courtenay
111286,Fitzgerald at 5th St (NB),49.690305,-125.00164,Courtenay
111288,Dunsmuir at Carlisle (WB),49.620339,-125.01736,Cumberland
111289,Dunsmuir at Sixth (WB),49.619664,-125.022995,Cumberland
111290,Dunsmuir at Fourth (WB),49.619365,-125.02627,Cumberland
111291,Dunsmuir at First (WB),49.618871,-125.03168,Cumberland
111292,Egremont at Dunsmuir (NB),49.61877,-125.034546,Cumberland
110336,Island Hwy S at Garvin (NB),49.562117,-124.873507,Comox Valley A
110338,Island Hwy at Gartley (NB),49.638658,-124.928662,Comox Valley A
110377,Comox at Scott (WB),49.679169,-124.965354,Comox Valley B (Lazo North)
110379,Anderton at Greenwood (NB),49.717338,-124.933546,Comox Valley B (Lazo North)
110398,Tammy at MacAuley (NB),49.860721,-125.147712,Comox Valley C (Puntledge - Black Creek)
110413,Miracle Beach at Island Hwy S (WB),49.851851,-125.131417,Comox Valley C (Puntledge - Black Creek)
800030,Driftwood Mall Exchange,49.670416,-124.981232,Courtenay
111449,Ellenor 1300 block (NB),49.740211,-124.925542,Comox Valley B (Lazo North)
111450,Military at E Ryan (SB),49.713936,-124.909045,Comox
111451,Military at Rose (SB),49.708606,-124.909145,Comox
111452,Knight 1250 block (WB),49.706054,-124.906557,Comox
111455,E 10th St at Glen Urquhart (EB),49.700142,-124.97366,Courtenay
111456,Back at E 6th St (EB),49.70022,-124.978758,Courtenay
111457,Arden at 1st St (SB),49.68163,-125.024883,Courtenay
111459,Cliffe at Mansfield (NB),49.678723,-124.983897,Courtenay
111461,Lake Trail 1970 block (WB),49.67892,-125.01344,Courtenay
111462,Valley View at Lerwick (WB),49.699574,-124.957362,Courtenay
111463,McLauchlin at Dingwall (SB),49.708125,-124.98172,Courtenay
111464,Embleton 2200 block (EB),49.681725,-125.021306,Courtenay
111465,Embleton at Osprey (NB),49.684995,-125.016797,Courtenay
103861,Island Hwy at White (SB),49.833521,-125.129839,Comox Valley C (Puntledge - Black Creek)
111467,20th St at Cousins (EB),49.672829,-125.002483,Courtenay
111473,Back at E 10th St (SB),49.69955,-124.97636,Courtenay
111474,Fitzgerald at 13th St (SB),49.685119,-124.99647,Courtenay
111475,Ryan 2990 block (WB),49.712157,-124.96279,Courtenay
111476,NIC Exchange Bay B (EB),49.71116,-124.968189,Courtenay
111477,Lerwick 460 block (SB),49.709697,-124.964877,Courtenay
111478,Lerwick at Malahat (NB),49.705859,-124.959682,Courtenay
111363,Robb at Stewart (WB),49.678769,-124.91913,Comox
111364,Robb 1690 block (WB),49.679501,-124.92239,Comox
111365,Robb at Megin (WB),49.680407,-124.925415,Comox
111366,Church at Hemlock (NB),49.681948,-124.926895,Comox
111367,Noel at Holly (WB),49.682525,-124.933124,Comox
111368,Anderton at Bolt (NB),49.683957,-124.93501,Comox
111369,Anderton at Guthrie (NB),49.687624,-124.934811,Comox
111370,Guthrie at Stadacona (WB),49.688477,-124.937854,Comox
111371,Guthrie at Aspen (WB),49.688583,-124.942525,Comox
111372,Lerwick at Inverclyde (NB),49.695134,-124.953709,Courtenay
111373,Lerwick 2130 block (SB),49.696054,-124.955171,Courtenay
111374,Lerwick 2100 block (NB),49.696416,-124.955333,Courtenay
111375,Lerwick at Valley View (NB),49.699528,-124.955951,Courtenay
