stop_id,stop_name,stop_lat,stop_lon,muni
1BAR,Downtown Barrie Terminal,44.38759814,-79.69113082,Barrie
144BAR,Barrie By the Bay Plaza,44.38419889,-79.69396387,Barrie
151BAR,Victoria Street,44.38145815,-79.69378391,Barrie
148BAR,John Street,44.37990156,-79.69372107,Barrie
146BAR,Brock Street,44.37720176,-79.69348116,Barrie
732BAR,Allandale Waterfront Station,44.37382969,-79.68970508,Barrie
168BAR,Granville Street,44.37171621,-79.69114256,Barrie
174BAR,William Street,44.37130339,-79.68839559,Barrie
165BAR,Burton at Bayview,44.3711314,-79.68436993,Barrie
173BAR,Robinson Street,44.37138819,-79.68121647,Barrie
170BAR,Melinda Crescent,44.37159264,-79.67856723,Barrie
166BAR,Garden Drive,44.37077229,-79.67420508,Barrie
716BAR,Yonge at Huronia,44.37023921,-79.67021818,Barrie
712BAR,Foster Drive,44.36896555,-79.66673841,Barrie
718BAR,Yonge at Little,44.36641123,-79.66270817,Barrie
719BAR,Barrington Residence,44.3639105,-79.65957671,Barrie
709BAR,D'Ambrosio Drive,44.36098314,-79.65592268,Barrie
707BAR,Cox Mill Road,44.35841154,-79.6513061,Barrie
705BAR,Yonge at Big Bay Point,44.35651809,-79.64697827,Barrie
723BAR,Heritage Square,44.35582833,-79.645051,Barrie
722BAR,Madelaine Drive,44.35464896,-79.64176327,Barrie
800BAR,Esther Drive,44.35279936,-79.63652178,Barrie
801BAR,Country Lane,44.35168136,-79.63343444,Barrie
725BAR,Barrie South GO Station,44.35185862,-79.62838858,Barrie
759BAR,Goodwin Drive,44.3500095,-79.63437346,Barrie
760BAR,Dean Avenue,44.34867834,-79.63777081,Barrie
517BAR,Seline Crescent,44.34385216,-79.64805831,Barrie
516BAR,430 Mapleview East,44.34349861,-79.64965678,Barrie
511BAR,Country Lane,44.34279639,-79.65277074,Barrie
512BAR,Mapleview at Huronia,44.34055384,-79.66309108,Barrie
520BAR,Welham Road,44.3390317,-79.66958204,Barrie
508BAR,Bayview Drive,44.33705738,-79.678095,Barrie
777BAR,Park Place,44.34022719,-79.68020069,Barrie
485BAR,Maple at Ross,44.39039984,-79.69250726,Barrie
484BAR,Sophia Street West,44.39184294,-79.69376706,Barrie
701BAR,Wellington at Bayfield,44.39346067,-79.69446369,Barrie
690BAR,Owen Street,44.39526863,-79.69028469,Barrie
683BAR,Berczy Street,44.3968854,-79.68661927,Barrie
689BAR,Oak Street,44.39851422,-79.68244071,Barrie
694BAR,Wellington at St Vincent,44.40002724,-79.67961143,Barrie
685BAR,Wellington at Duckworth,44.40286716,-79.67521105,Barrie
253BAR,Davies Cresent,44.40551596,-79.67443542,Barrie
254BAR,Duckworth at Grove,44.40759498,-79.67407238,Barrie
250BAR,Bernick  Drive,44.40969651,-79.67368687,Barrie
330BAR,Georgian College,44.41208657,-79.66913206,Barrie
216BAR,Cundles at J.C. Massie Way,44.41661353,-79.67614223,Barrie
222BAR,Lions Gate,44.41600796,-79.67899857,Barrie
950BAR,Livingstone Street East,44.41380659,-79.68398381,Barrie
928BAR,Osprey Ridge Road,44.41750463,-79.68727587,Barrie
929BAR,Marjoy Avenue,44.42018615,-79.68977918,Barrie
444BAR,Margaret Drive,44.41822043,-79.69612789,Barrie
446BAR,Michael Crescent,44.41611771,-79.70096226,Barrie
447BAR,East Bayfield Community Centre,44.41430522,-79.70283155,Barrie
440BAR,Georgian Mall,44.41066232,-79.70648719,Barrie
453BAR,Wal-Mart Plaza,44.40902611,-79.71030063,Barrie
462BAR,Kozlov Street,44.40835746,-79.7124228,Barrie
466BAR,McDougall Drive,44.40743543,-79.71601334,Barrie
