country,city,state_or_province,Phone
Canada,Hant's Harbour,Newfoundland & Labrador,709-701-3128
Canada,West Bay,Newfoundland & Labrador,709-701-3128
Canada,Cheadle,Alberta,587-355-2343
Canada,Georgian Bay,Ontario,877-506-0434
Canada,Herrick Twp.,Ontario,877-506-0434
Canada,Balfron,Nova Scotia,902-707-0266
Canada,Kimberley,British Columbia,250-984-8355
Canada,S. Joseph Island,Ontario,877-506-0434
Canada,Oxtongue Lake,Ontario,877-506-0434
Canada,Lake Cowichan,British Columbia,250-984-8355
Canada,IRISHTOWN-Summerside,Newfoundland & Labrador,709-701-3128
Canada,Kedgwick River,New Brunswick,506-802-9343
Canada,st.john's,Newfoundland & Labrador,709-701-3128
Canada,Lower Onslow,Nova Scotia,902-707-0266
Canada,South-West Oxford (Twp),Ontario,877-506-0434
Canada,Mariposa Rm No. 350,Saskatchewan,306-518-8093
Canada,MacKay Siding,Nova Scotia,902-707-0266
Canada,Alcida,New Brunswick,506-802-9343
Canada,Dufferin,New Brunswick,506-802-9343
Canada,Prairie Lake Regional Park,Saskatchewan,306-518-8093
Canada,West Isles,New Brunswick,506-802-9343
Canada,Arran,Ontario,877-506-0434
Canada,Scarborough,Ontario,647-490-6875
Canada,Antrim,Nova Scotia,902-707-0266
Canada,Conception Bay Centre,Newfoundland & Labrador,709-701-3128
Canada,Bayfield,Prince Edward Island,877-506-0434
Canada,Waskada,Manitoba,204-809-9764
Canada,Mulgrave,Nova Scotia,902-707-0266
Canada,Dunvegan,Ontario,877-506-0434
Canada,Monteagle,Ontario,877-506-0434
Canada,KAKABEKA FALLS,Ontario,877-506-0434
Canada,HARLEY TWP,Ontario,877-506-0434
Canada,St. George,Ontario,877-506-0434
Canada,Pabineau Falls,New Brunswick,506-802-9343
Canada,Sauble Beach South,Ontario,877-506-0434
Canada,Otterville,Ontario,877-506-0434
Canada,Viewmount,Nova Scotia,902-707-0266
Canada,Rosedale Rm No. 283,Saskatchewan,306-518-8093
Canada,Ardley,Alberta,587-355-2343
Canada,Admirals Beach,Newfoundland & Labrador,709-701-3128
Canada,Sault Ste. Maie,Ontario,877-506-0434
Canada,Griffin,Saskatchewan,306-518-8093
Canada,Wilmot,New Brunswick,506-802-9343
Canada,Sherbrooke,Nova Scotia,902-707-0266
Canada,Rural Rockyview,Alberta,587-355-2343
Canada,Portugal Cove-St. Phillip's,Newfoundland & Labrador,709-701-3128
Canada,Half Moon Lake,Alberta,587-355-2343
Canada,Westree,Ontario,877-506-0434
Canada,Iona,Prince Edward Island,877-506-0434
Canada,Horwood,Newfoundland & Labrador,709-701-3128
Canada,Green Hill,Nova Scotia,902-707-0266
Canada,Douro-Dummer,Ontario,877-506-0434
Canada,Montmartre,Saskatchewan,306-518-8093
Canada,Portugal Cove - St. Phillips,Newfoundland & Labrador,709-701-3128
Canada,Cathcart,Ontario,877-506-0434
Canada,Britt,Ontario,877-506-0434
Canada,Kempt Road,Nova Scotia,902-707-0266
Canada,Red Rapids,New Brunswick,506-802-9343
Canada,Washago,Ontario,877-506-0434
Canada,Wyses Corner,Nova Scotia,902-707-0266
Canada,St Marys,Newfoundland & Labrador,709-701-3128
Canada,Armstrong Station,Ontario,877-506-0434
Canada,Burton,New Brunswick,506-802-9343
Canada,Blue Mountain,Nova Scotia,902-707-0266
Canada,East York,Ontario,647-490-6875
Canada,OSOYOOS,British Columbia,250-984-8355
Canada,Florence,Ontario,877-506-0434
Canada,Central Hainesville,New Brunswick,506-802-9343
Canada,Little Judique Ponds,Nova Scotia,902-707-0266
Canada,Back Centre,Nova Scotia,902-707-0266
Canada,Coleman,Ontario,877-506-0434
Canada,Riverside Rm No. 168,Saskatchewan,306-518-8093
Canada,Rodgers Cove,Newfoundland & Labrador,709-701-3128
Canada,Rural Special Areas No. 4,Alberta,587-355-2343
Canada,Monastery,Nova Scotia,902-707-0266
Canada,Ripples,New Brunswick,506-802-9343
Canada,Clavering,Ontario,877-506-0434
Canada,Summerville,New Brunswick,506-802-9343
Canada,Durham,Nova Scotia,902-707-0266
